név;osztály;csoport;nem;hajszíne;heti zsebpénz;kedvenc tárgy;bukások száma;átlag;testvérek száma;szülhely;szüldátum;szülidő;lakcím;anyja szül. dátuma;apja szül. dátuma;állat1;állat2
Nagy Liza;10.A;szoftverfejlesztő;l;fekete;3500;biológia;3;1;0;Zalaegerszeg;2005.10.02;6:03:26;8900 Zalaegerszeg, Gönczi u. 2.;1976.11.13;1955.02.02;ló;hörcsög
Német Viktória;10.A;rendszergazda;l;kopasz;5000;magyar;0;3,06;2;Zalaegerszeg;2007.07.23;5:14:58;8991 Teskánd, Petőfi Sándor út 43.;1972.10.06;1959.09.03;kígyó;kutya
Németh Eszter;10.A;számvitel-gazdálkodás;l;vörös;8500;német;0;4,6;2;Zalaegerszeg;2007.03.01;1:47:50;8900 Zalaegerszeg, Olajmunkás u. 4.;1963.06.09;1970.09.20;tyúk;hal
Németh Krisztina;10.A;pénzügy;l;kék;6500;angol;0;4,21;0;Zalaegerszeg;2006.12.18;7:46:40;8900 Zalaegerszeg, Pázmány Péter utca 8. I/4;1963.06.19;1962.09.25;ló;
Pál Patrícia Nóra;10.A;rendszergazda;l;vörös;7000;informatika;0;2,81;1;Zalaegerszeg;2007.07.25;1:22:15;8943 Bocfölde, Kodály Z. u. 3.;1982.09.10;1954.11.15;ló;macska
Pattogó Martin;10.A;számvitel-gazdálkodás;f;fekete;3500;rajz;0;3,16;0;Zalaegerszeg;2007.03.19;5:37:50;8900 Zalaegerszeg, Zala utca 2/a I./1.;1962.09.20;1973.03.26;patkány;
Pintér Dóra;10.A;pénzügy;l;kék;6500;informatika;0;4,05;2;Nagykanizsa;2005.12.22;19:27:44;8998 Vaspör, Munkácsy u. 8.;1963.02.22;1976.10.07;teknős;kutya
Porkoláb Sára Judit;10.A;pénzügy;l;fekete;5500;történelem;0;4,6;2;Zalaegerszeg;2006.01.10;6:05:47;8900 Zalaegerszeg, Csáfordi forduló 4.;1961.01.22;1987.12.28;teknős;vadászgörény
Pődör Anna Eliza;10.A;számvitel-gazdálkodás;l;lila;4500;német;0;4,72;2;Zalaegerszeg;2006.09.21;20:15:07;8900 Zalaegerszeg, Gasparich utca 14.;1974.11.10;1984.11.01;tyúk;kutya
Rép Alexandra;10.A;pénzügy;l;vörös;4500;angol;0;3,22;0;Kistarcsa;2006.03.26;4:35:00;8900 Zalaegerszeg, Göcsej Pataki Ferenc utca 25. 3. em. 9. a;1963.05.03;1962.09.16;tyúk;
Révész Gergő;10.A;számvitel-gazdálkodás;f;szőke;9500;földrajz;3;1;3;Zalaegerszeg;2007.04.30;22:46:04;8900 Zalaegerszeg, Göcseji Pataki F. u. 22.;1963.01.02;1972.01.22;;
Rituper Dorina;10.A;szoftverfejlesztő;l;fekete;4500;német;1;1;2;Budapest;2006.06.12;1:55:49;8960 Lenti, Kinizsi utca 34.;1974.11.28;1969.08.22;vadászgörény;
Szabó Ágnes;10.A;szoftverfejlesztő;l;szőke;9500;földrajz;0;2,45;1;Zalaegerszeg;2006.03.23;14:41:56;8933 Zalaistvánd, Jókai u. 16.;1972.10.09;1985.10.10;vadászgörény;hörcsög
Szakál Norbert;10.A;rendszergazda;f;fekete;7500;matematika;0;3,8;3;Zalaegerszeg;2006.04.01;23:46:09;8911 Nagykutas, Gyöp u. 58.;1961.09.07;1976.06.05;;
Szintai László;10.A;rendszergazda;f;kopasz;3500;matematika;0;4,43;2;Zalaegerszeg;2007.08.23;19:46:44;8900 Zalaegerszeg, Juhász Gyula u. 6.;1978.05.14;1972.08.31;kutya;hörcsög
Takács Nikolett;10.A;rendszergazda;l;vörös;3000;fizika;0;2,42;1;Zalaegerszeg;2006.03.18;4:04:19;8999 Zalalövő, Jókai Mór utca 40.;1986.03.23;1958.01.06;hal;patkány
Török Ádám;10.A;szoftverfejlesztő;f;vörös;5000;angol;0;4,8;1;Zalaegerszeg;2007.06.15;14:10:44;8900 Zalaegerszeg, Göcseji út 27-29. 3/303;1984.12.17;1952.11.23;ló;
Török Márton Barnabás;10.A;rendszergazda;f;szőke;7000;informatika;0;4,44;0;Zalaegerszeg;2006.10.15;11:21:21;8900 Zalaegerszeg, Virágzó M.u. 26.;1963.08.08;1958.02.24;;
Végh Márk;10.A;pénzügy;f;szőke;9500;német;4;1;0;Zalaegerszeg;2007.08.24;4:09:49;8900 Zalaegerszeg, Ciklámen u. 12/C. II/10.;1972.11.23;1970.06.08;kacsa;
Zsoldos Viktória;10.A;számvitel-gazdálkodás;l;vörös;8500;fizika;3;1;4;Zalaegerszeg;2006.10.01;16:47:50;8900 Zalaegerszeg, Becsali út 31.;1964.08.10;1958.10.25;kígyó;kacsa
Bellér Vivien;10.B;rendszergazda;l;fekete;10000;fizika;0;2,15;0;Zalaegerszeg;2007.05.28;20:35:22;8900 Zalaegerszeg, Pózva u. 110.;1979.01.22;1977.11.07;teknős;
Biczó Máté;10.B;szoftverfejlesztő;f;lila;3000;történelem;0;3,33;0;Zalaegerszeg;2007.08.23;11:52:29;8900 Zalaegerszeg, Balatoni út 44.;1964.11.02;1987.09.02;kutya;tyúk
Csarankó Vivien;10.B;pénzügy;l;kék;5000;rajz;0;2,1;1;Zalaegerszeg;2007.01.30;1:04:27;8761 Pacsa, Gagarin utca 37.;1962.12.27;1964.03.22;hörcsög;hal
Dala Viktória;10.B;pénzügy;l;szőke;8000;ének;0;4,97;1;Zalaegerszeg;2007.07.11;14:30:24;8977 Lendvajakabfa, Kossuth L. utca 4.;1967.10.15;1973.08.15;hörcsög;patkány
Deli Kristóf;10.B;szoftverfejlesztő;f;kopasz;3500;informatika;0;3,2;1;Keszthely;2006.04.22;14:51:54;8900 Zalaegerszeg, Kosztolányi Dezső tér 2/C;1979.07.10;1983.06.18;patkány;tyúk
Eke Melinda;10.B;pénzügy;l;kopasz;5500;matematika;0;3,1;1;Szombathely;2007.02.24;15:37:49;8900 Zalaegerszeg, Ola u. 18/E. III/5.;1983.01.24;1964.03.20;kígyó;hal
Erdélyi Bence;10.B;pénzügy;f;fekete;7500;angol;0;2,77;1;Zalaegerszeg;2005.11.05;6:28:14;8900 Zalaegerszeg, Pálóczi Horváth Ádám u. 9. II/7. ;1977.06.10;1964.01.07;kacsa;kígyó
Farkas Alexandra;10.B;szoftverfejlesztő;l;kék;5500;biológia;0;4,68;1;Zalaegerszeg;2006.05.15;3:40:24;8900 Zalaegerszeg, Babits M. u. 5.;1973.09.19;1980.05.17;;
Frankovics Viktória;10.B;rendszergazda;l;vörös;8000;magyar;1;1;2;Zalaegerszeg;2006.10.13;7:40:40;8900 Zalaegerszeg, Becsali u. 30/A.;1968.04.21;1971.10.25;teknős;tyúk
Füzesi Ervin;10.B;számvitel-gazdálkodás;f;kék;5500;rajz;0;3,06;2;Nagykanizsa;2006.03.18;4:23:40;8900 Zalaegerszeg, Kosztolányi u. 8/A.I.3.;1974.04.16;1965.03.05;vadászgörény;tyúk
Gál András;10.B;pénzügy;f;barna;6500;német;0;2,56;1;Zalaegerszeg;2007.02.19;23:56:59;8900 Zalaegerszeg, Toposháza u. 66.;1970.04.22;1973.07.06;;
Góll Fanny;10.B;szoftverfejlesztő;l;barna;8500;ének;1;1;2;Zalaegerszeg;2006.04.11;11:37:28;8900 Zalaegerszeg, Erdész u. 42.;1989.11.15;1976.10.20;vadászgörény;hörcsög
Gyuk Barnabás;10.B;pénzügy;f;szőke;4500;matematika;1;1;2;Zalaegerszeg;2006.10.20;18:59:02;8900 Zalaegerszeg, Toldi utca 10. 3. em./5.;1989.04.12;1981.01.19;;
Horváth Boglárka;10.B;számvitel-gazdálkodás;l;vörös;5500;fizika;0;3,23;0;Zalaegerszeg;2006.09.30;12:48:43;8919 Kustánszeg, Kossuth út 55.;1963.10.24;1973.10.30;patkány;
Horváth Dániel;10.B;szoftverfejlesztő;f;vörös;7500;ének;1;1;3;Zalaegerszeg;2007.06.18;14:47:08;8897 Söjtör, Petőfi u. 16/B.;1986.09.05;1967.05.31;macska;
Huszics Anita;10.B;rendszergazda;l;barna;7500;ének;0;2,21;1;Tapolca;2006.11.15;4:56:57;8900 Zalaegerszeg, Avashegyi utca 4. ;1987.04.09;1973.05.17;kutya;ló
Kele Valentina;10.B;rendszergazda;l;szőke;4000;informatika;0;4,18;1;Zalaegerszeg;2006.02.06;23:52:20;8900 Zalaegerszeg, Rózsás utca 61.;1966.02.03;1987.01.12;vadászgörény;ló
Kiss József;10.B;szoftverfejlesztő;f;barna;9000;földrajz;0;2,11;0;Zalaegerszeg;2005.10.19;4:26:17;8900 Zalaegerszeg, Halom u. 44.;1974.06.20;1956.04.05;tyúk;patkány
Klujber Richárd;10.B;rendszergazda;f;kék;6500;magyar;0;4,88;0;Zalaegerszeg;2005.11.14;20:51:59;8900 Zalaegerszeg, Hegyalja u. 11/A. fsz.2.;1981.08.24;1967.07.21;tyúk;kutya
Kocsis Dániel;10.B;szoftverfejlesztő;f;kék;8500;rajz;0;4,78;2;Zalaegerszeg;2006.05.19;22:36:56;8956 Páka, Béke u. 19.;1976.06.27;1980.11.14;hörcsög;
Kósi Réka;10.B;számvitel-gazdálkodás;l;lila;7500;rajz;0;3,56;0;Zalaegerszeg;2006.05.09;3:03:40;8893 Bucsuta, Ady Endre út 20.;1987.11.05;1988.04.27;kutya;
Kovács Martin;10.B;pénzügy;f;barna;8000;ének;1;1;1;Zalaegerszeg;2007.07.02;17:31:12;8900 Zalaegerszeg, Hock J. u. 44.;1973.02.04;1959.06.19;;
Kövesi János;10.B;szoftverfejlesztő;f;lila;10000;angol;1;1;1;Zalaegerszeg;2006.04.11;18:19:15;8900 Zalaegerszeg, Rózsás u. 68.;1977.05.14;1957.10.29;hal;teknős
Léránt Krisztián;10.B;szoftverfejlesztő;f;barna;5500;történelem;0;2,62;3;Zalaegerszeg;2007.08.30;4:42:03;9813 Sárfimizdó, Kossuth u. 85.;1988.12.14;1963.04.28;macska;patkány
Markos Dorina;10.B;pénzügy;l;fekete;10000;magyar;0;4,56;1;Zalaegerszeg;2007.08.25;18:10:34;8790 Zalaszentgrót, Hegyalja utca 10.;1964.01.21;1960.07.05;macska;kutya
Mazzag Regina;10.B;rendszergazda;l;kopasz;4000;földrajz;0;3,16;1;Zalaegerszeg;2005.11.18;12:15:13;8790 Zalaszentgrót, Batthyány utca 3;1989.03.24;1964.06.04;kacsa;
Nagy Bendegúz;10.B;pénzügy;f;barna;7000;biológia;0;3,31;2;Nagykanizsa;2007.05.27;21:21:29;8900 Zalaegerszeg, Jókai u. 1.;1987.06.02;1975.05.20;;
Nagy Norbert József;10.B;pénzügy;f;barna;5000;angol;0;2,9;1;Nagykanizsa;2006.02.01;21:04:55;8900 Zalaegerszeg, Juhász Gyula utca 40.;1989.02.16;1958.08.05;macska;
Németh Márk;10.B;rendszergazda;f;lila;3500;történelem;0;4,56;1;Zalaegerszeg;2005.10.30;20:13:57;8912 Nagypáli, Arany J. u. 23.;1970.04.05;1974.08.04;vadászgörény;tyúk
Péter Norbert;10.B;rendszergazda;f;vörös;5500;rajz;0;2,83;1;Zalaegerszeg;2005.12.15;12:29:21;8900 Zalaegerszeg, Göcseji u. 1.4/17.;1970.10.12;1966.11.12;ló;
Preisinger Károly;10.B;szoftverfejlesztő;f;kopasz;5000;matematika;0;2,26;2;Szeged;2006.12.17;20:15:15;8943 Bocfölde, Kiskuti u. 9.;1979.05.13;1959.10.04;tyúk;hörcsög
Rékli Vivien;10.B;pénzügy;l;fekete;4000;matematika;2;1;3;Zalaegerszeg;2007.02.19;17:13:40;8900 Zalaegerszeg, Andráshida u. 75.;1980.07.04;1976.07.21;macska;
Sipos Lilla Viktória;10.B;rendszergazda;l;kopasz;8500;földrajz;0;2,04;1;Zalaegerszeg;2005.09.09;20:11:44;8936 Zalaszentmihály, Jókai u. 22.;1976.08.09;1984.09.04;teknős;teknős
Sipos Rita;10.B;rendszergazda;l;barna;6500;biológia;2;1;2;Zalaegerszeg;2006.11.26;19:30:31;8925 Bucsuszentlászló, Arany J. utca 13.;1986.08.19;1953.05.12;;
Szabó Levente László;10.B;rendszergazda;f;fekete;6500;német;0;4,82;1;Zalaegerszeg;2006.01.23;23:14:22;8900 Zalaegerszeg, Jánkahegyi út 1.;1963.03.18;1953.12.16;;
Szabó Patrik;10.B;számvitel-gazdálkodás;f;lila;6000;magyar;3;1;2;Zalaegerszeg;2006.04.04;9:54:17;8913 Egervár, Dózsa Gy.u.2.;1969.01.08;1982.06.09;hörcsög;hal
Szalai Adrienn;10.B;rendszergazda;l;fekete;5500;matematika;2;1;2;Körmend;2007.07.18;13:27:27;8936 Zalaszentmihály, Deák u. 11.;1970.07.03;1954.06.11;kutya;tyúk
Tóth Kitti;10.B;rendszergazda;l;fekete;6500;biológia;1;1;2;Zalaegerszeg;2005.09.25;14:35:32;8900 Zalaegerszeg, Köztársaság u. 77/5/23;1983.12.29;1981.08.23;kacsa;ló
Zuggó Zoltán;10.B;szoftverfejlesztő;f;szőke;3500;fizika;0;4,9;1;Zalaegerszeg;2006.04.04;9:16:08;8900 Zalaegerszeg, Biró M.u. 28. ;1980.06.24;1958.09.09;;
Aczél Norbert;10.C;rendszergazda;f;lila;8500;rajz;0;3,34;2;Zalaegerszeg;2005.09.15;22:23:07;8796 Türje, Dózsa Gy. u. 44.;1970.03.17;1987.03.04;vadászgörény;kutya
Bácsay Márk;10.C;számvitel-gazdálkodás;f;barna;7500;informatika;2;1;2;Zalaegerszeg;2006.06.16;0:29:12;8935 Nagykapornak, Dózsa Gy.u.5.;1970.02.15;1957.12.07;macska;
Benkő Dominika;10.C;számvitel-gazdálkodás;l;barna;4500;földrajz;0;2,53;3;Zalaegerszeg;2007.05.17;5:33:49;8900 Zalaegerszeg, Kosztolányi tér 2/A;1974.08.18;1977.09.21;kutya;hal
Cser Alexandra;10.C;szoftverfejlesztő;l;fekete;4500;rajz;0;4,86;1;Zalaegerszeg;2007.02.09;21:06:06;8913 Gősfa , Dózsa Gy. utca 10.;1978.07.04;1978.06.01;kacsa;tyúk
Darics Viktória;10.C;rendszergazda;l;vörös;3000;magyar;0;3,89;1;Zalaegerszeg;2006.07.12;11:53:27;8951 Gutorfölde, Jókai M. u. 133;1962.09.15;1973.11.04;tyúk;hal
Horváth Gergő;10.C;számvitel-gazdálkodás;f;vörös;6500;matematika;3;1;0;Zalaegerszeg;2006.07.28;0:03:53;8925 Kisbucsa, Petőfi Sándor u. 1.;1964.06.26;1959.08.14;hal;vadászgörény
Horváth István;10.C;számvitel-gazdálkodás;f;barna;9000;ének;2;1;1;Zalaegerszeg;2005.11.02;23:18:09;8991 Teskánd, Sport u. 9/B.;1969.10.09;1975.10.16;hörcsög;patkány
Horváth Márton Áron;10.C;számvitel-gazdálkodás;f;kopasz;9500;ének;0;3,91;2;Zalaegerszeg;2007.05.21;16:29:56;8900 Zalaegerszeg, Gasparich M.u. 13.B. IV/1.;1968.10.04;1971.01.09;patkány;teknős
Horváth Réka;10.C;rendszergazda;l;lila;8500;informatika;3;1;3;Zalaegerszeg;2006.07.24;0:32:03;8799 Pakod, Vasút út 8.;1981.11.27;1973.08.11;hörcsög;patkány
Horváth Tamara;10.C;pénzügy;l;vörös;3000;rajz;0;3,73;1;Zalaegerszeg;2006.02.27;7:22:45;8900 Zalaegerszeg, Király u. 8.;1964.12.07;1975.07.28;kígyó;patkány
Koncz Rebeka;10.C;pénzügy;l;fekete;9000;informatika;0;2,92;4;Zalaegerszeg;2007.03.11;6:44:02;8900 Zalaegerszeg, Batthyány u. 3-7.  2/7.;1965.08.08;1969.07.23;kacsa;teknős
Kovács Eszter;10.C;számvitel-gazdálkodás;l;szőke;7500;rajz;0;4,5;1;Szombathely;2007.07.15;20:57:59;8919 Kustánszeg, Táncsis út 7.;1963.03.10;1952.08.17;macska;vadászgörény
Kovács Vivien;10.C;szoftverfejlesztő;l;vörös;4000;matematika;0;3,8;2;Zalaegerszeg;2005.11.10;22:27:50;8900 Zalaegerszeg, Baross G. utca 36.;1962.08.29;1983.06.22;;
Kutasi Kitti;10.C;rendszergazda;l;vörös;9500;történelem;3;1;0;Zalaegerszeg;2006.05.23;8:34:26;8900 Zalaegerszeg, Ifjúság u. 10/4.;1974.05.25;1961.01.23;macska;teknős
Markos Dalma;10.C;számvitel-gazdálkodás;l;barna;4000;ének;0;3,4;0;Zalaegerszeg;2005.11.11;11:24:14;8936 Zalaszentmihály, Deák F.utca 71.;1978.06.13;1954.09.22;kígyó;kacsa
Márkus Marcell Rudolf;10.C;rendszergazda;f;szőke;4000;történelem;0;3,61;1;Zalaegerszeg;2006.03.25;12:04:17;8900 Zalaegerszeg, Rákóczi u. 10-22. 4/51.;1986.07.25;1959.04.11;macska;kacsa
Mester Amarilla;10.C;számvitel-gazdálkodás;l;fekete;3500;biológia;0;2,35;0;Zalaegerszeg;2007.07.25;9:46:08;8900 Zalaegerszeg, Pázmány P. u. 15.;1962.12.22;1982.10.06;teknős;tyúk
Molnár Tamás;10.C;szoftverfejlesztő;f;fekete;6000;rajz;0;4,79;0;Zalaegerszeg;2006.04.12;0:58:19;8790 Zalaszentgrót, Szentpéteri út 11.;1978.12.30;1976.04.23;ló;
Németh Kata;10.C;szoftverfejlesztő;l;szőke;7000;magyar;3;1;1;Zalaegerszeg;2007.05.17;6:11:10;8925 Kisbucsa, Kossuth L.u.28.;1964.03.15;1988.11.24;ló;kutya
Németh Kinga;10.C;rendszergazda;l;szőke;5000;rajz;0;2,03;2;Zalaegerszeg;2007.04.02;7:47:25;8900 Zalaegerszeg, Ola út 16.;1963.07.06;1969.02.04;hal;kacsa
Patai Alex;10.C;szoftverfejlesztő;f;barna;5000;fizika;4;1;1;Zalaegerszeg;2006.12.07;15:21:23;8900 Zalaegerszeg, Halom u. 5.;1969.10.24;1976.12.01;kacsa;teknős
Pup Heléna;10.C;szoftverfejlesztő;l;barna;3500;informatika;0;4,38;4;Zalaegerszeg;2006.07.09;20:42:14;8945 Bak, Rózsa u. 37.;1974.09.25;1986.02.28;kutya;kutya
Salamon Bettina;10.C;szoftverfejlesztő;l;fekete;9500;ének;0;4,93;1;Zalaegerszeg;2006.09.16;4:04:33;8983 Nagylengyel, Cser u. 23.;1972.01.20;1967.01.03;;
Sali Xénia;10.C;számvitel-gazdálkodás;l;kék;6500;német;3;1;1;Zalaegerszeg;2006.04.27;2:02:25;8782 Zalacsány, Hegy utca 2.;1975.06.20;1967.07.13;kutya;
Simon Tímea;10.C;pénzügy;l;kopasz;8500;történelem;0;4,89;2;Keszthely;2005.09.23;19:55:02;8900 Zalaegerszeg, Rákóczi u. 40.;1984.06.27;1983.07.27;teknős;patkány
Soós Ferenc;10.C;rendszergazda;f;barna;7500;biológia;0;2;4;Zalaegerszeg;2005.12.07;9:06:09;8900 Zalaegerszeg, Borostyán sor 22/B;1986.11.17;1957.02.21;teknős;macska
Sóvágó Dominika Ivett ;10.C;rendszergazda;l;fekete;4500;ének;0;4,86;2;Zalaegerszeg;2006.06.20;21:29:27;8942 Csatár, Dózsa Gy. u. 42. ;1965.04.17;1981.11.22;hal;macska
Szabó Krisztián;10.C;számvitel-gazdálkodás;f;kék;5500;magyar;1;1;1;Zalaegerszeg;2005.10.09;1:53:14;8900 Zalaegerszeg, Erdész utca 79. ;1977.10.22;1952.04.23;macska;
Szabó Sándor;10.C;pénzügy;f;kopasz;8000;biológia;0;2,89;0;Zalaegerszeg;2007.08.11;14:20:17;8994 Kávás, Petőfi u. 7.;1974.02.16;1980.08.23;teknős;
Tombor Boglárka;10.C;szoftverfejlesztő;l;szőke;6000;történelem;0;4,79;3;Körmend;2007.05.22;9:19:31;8981 Lickóvadamos, Fő u. 2/A;1981.07.19;1981.08.18;macska;hal
Vass Klaudia;10.C;szoftverfejlesztő;l;vörös;3000;német;1;1;1;Zalaegerszeg;2007.03.12;8:02:23;8900 Zalaegerszeg, Ola u. 34. ;1977.08.15;1954.01.14;kacsa;vadászgörény
Viszmeg Nikolett;10.C;rendszergazda;l;barna;6000;magyar;0;3,07;1;Zalaegerszeg;2006.04.24;2:40:59;8900 Zalaegerszeg, Nemzetőr u. 32. C/1.;1984.09.09;1968.04.18;vadászgörény;kígyó
Agnes Vinghammar;10.D;számvitel-gazdálkodás;l;vörös;6000;informatika;4;1;1;Falun;2006.09.02;4:48:57;8900 Zalaegerszeg, Vörösmarty u. 24/C. ;1983.06.05;1956.07.10;macska;kutya
Balassa Péter;10.D;pénzügy;f;barna;8500;fizika;0;3,1;1;Zalaegerszeg;2006.07.08;17:38:09;8944 Sárhida, Pacsirta út 12.;1965.12.04;1968.12.18;hörcsög;
Bódis Bettina Tünde;10.D;pénzügy;l;barna;4500;történelem;0;2,05;0;Zalaegerszeg;2005.11.26;21:10:35;8945 Bak, Rákóczi F. utca 99.;1961.12.12;1953.07.03;ló;kígyó
Bognár Gabriella Kitti;10.D;szoftverfejlesztő;l;kopasz;3500;magyar;0;3,13;2;Zalaegerszeg;2007.08.07;14:51:25;8991 Böde, Petőfi S. utca 5.;1980.04.12;1982.12.19;;
Cséve Dominika;10.D;rendszergazda;l;barna;9000;ének;0;4,34;0;Zalaegerszeg;2006.07.31;7:23:07;8900 Zalaegerszeg, Andráshida u. 79. ;1963.06.04;1975.08.20;teknős;hal
Fincza Kristóf;10.D;számvitel-gazdálkodás;f;szőke;9000;informatika;0;2,84;1;Zalaegerszeg;2006.03.25;9:42:23;8900 Zalaegerszeg, Botfy L.u. 39.;1979.03.11;1968.06.11;kacsa;
Halász Bence;10.D;rendszergazda;f;vörös;8500;magyar;0;5;1;Keszthely;2005.09.17;18:38:14;8790 Zalaszentgrót, Batthyány utca 26/B.;1968.04.30;1953.04.12;;
Hegedüs Lilla Katalin;10.D;rendszergazda;l;barna;6500;földrajz;0;2,89;1;Zalaegerszeg;2006.10.09;17:51:45;8981 Gellénháza, Orgona utca 7.;1984.03.19;1981.08.20;kígyó;ló
Horváth Kitti;10.D;számvitel-gazdálkodás;l;vörös;9000;rajz;0;4,55;2;Keszthely;2006.08.19;7:12:17;8992 Bagod, Vasút u. 5.;1988.12.11;1953.08.25;hal;tyúk
Horváth Levente;10.D;rendszergazda;f;vörös;6000;matematika;0;3,58;0;Keszthely;2006.05.02;4:09:52;8900 Zalaegerszeg, Irinyi J. u. 5.;1975.06.12;1987.02.25;ló;
Józsa Krisztina;10.D;rendszergazda;l;kopasz;3500;fizika;4;1;1;Zalaegerszeg;2005.12.29;5:35:32;8900 Zalaegerszeg, Kispest u. 1.;1983.11.04;1963.08.27;teknős;
Kenderes Csaba;10.D;pénzügy;f;kopasz;6000;ének;0;3,42;2;Zalaegerszeg;2006.07.23;0:28:49;8983 Babosdöbréte, Zrínyi M. út 2/a;1961.12.08;1969.11.22;kutya;tyúk
Kern Borbála Sára;10.D;pénzügy;l;vörös;6000;magyar;0;4,93;1;Zalaegerszeg;2007.04.03;19:38:29;8897 Söjtör, Szabadság u. 28.;1972.07.19;1955.09.29;tyúk;ló
Kiss Gergő;10.D;rendszergazda;f;kopasz;5000;történelem;0;3,52;2;Szombathely;2005.10.18;10:06:21;8900 Zalaegerszeg, Kinizsi P. út 76 D;1968.04.04;1981.03.13;tyúk;ló
Knöfel Nicole;10.D;rendszergazda;l;barna;5000;földrajz;0;2,38;1;Zalaegerszeg;2007.07.12;18:47:35;8918 Csonkahegyhát, Eperjes utca 5. ;1968.03.17;1972.01.20;tyúk;kutya
Kovács Dalma;10.D;rendszergazda;l;barna;4000;angol;0;4,18;3;Zalaegerszeg;2006.12.31;4:37:42;8900 Zalaegerszeg, Zala u. 2/A. fsz. 2. ;1975.05.02;1968.09.26;macska;
Kovács Tibor Patrik;10.D;pénzügy;f;fekete;3000;történelem;0;2,03;2;Zalaegerszeg;2007.01.17;11:04:17;8900 Zalaegerszeg, Kosztolányi tér 2/B;1965.07.23;1985.06.11;teknős;
